Date,Open,High,Low,Close,Volume
2024-12-03,1604.4,1719.85,1599.05,1689.1,2584341
2024-12-04,1715.0,1715.0,1652.25,1667.75,574426
2024-12-05,1675.3,1696.3,1655.25,1664.25,510452
2024-12-06,1673.6,1704.0,1635.3,1648.65,1072709
2024-12-09,1655.0,1679.0,1628.85,1645.95,836072
2024-12-10,1653.7,1654.95,1616.0,1624.6,1358165
2024-12-11,1624.25,1685.05,1612.05,1668.1,666243
2024-12-12,1664.35,1713.75,1625.5,1688.1,1028013
2024-12-13,1675.35,1689.0,1652.6,1669.2,507777
2024-12-16,1665.0,1670.0,1637.0,1641.45,435840
2024-12-17,1641.5,1648.7,1610.8,1624.15,409424
2024-12-18,1624.95,1630.8,1589.45,1610.3,328753
2024-12-19,1580.0,1636.2,1572.55,1632.0,642274
2024-12-20,1631.1,1639.05,1444.45,1479.2,2952028
2024-12-23,1479.2,1558.0,1478.9,1551.35,1534398
2024-12-24,1546.0,1550.0,1491.15,1502.1,460805
2024-12-26,1513.0,1518.45,1459.05,1468.25,321207
2024-12-27,1475.1,1484.7,1440.3,1451.45,530465
2024-12-30,1451.45,1458.95,1400.0,1409.3,1033835
2024-12-31,1410.0,1498.0,1410.0,1485.95,2012848
2025-01-01,1484.0,1521.65,1472.65,1494.25,535228
2025-01-02,1500.0,1545.3,1482.95,1538.5,482031
2025-01-03,1521.5,1540.25,1508.0,1513.45,300817
2025-01-06,1515.05,1516.75,1459.8,1471.35,348138
2025-01-07,1486.0,1494.6,1447.3,1453.5,316996
2025-01-08,1466.55,1474.1,1429.95,1434.45,587136
2025-01-09,1437.9,1458.0,1411.0,1414.8,730612
2025-01-10,1417.45,1424.0,1350.1,1358.25,521333
2025-01-13,1340.0,1366.0,1301.0,1309.75,449041
2025-01-14,1311.0,1387.45,1311.0,1378.1,561822
2025-01-15,1384.4,1441.7,1360.4,1421.1,688751
2025-01-16,1430.2,1504.1,1430.1,1492.75,737681
2025-01-17,1490.0,1518.0,1472.3,1477.0,333687
2025-01-20,1481.2,1522.9,1473.3,1482.95,276280
2025-01-21,1483.0,1485.0,1431.05,1437.95,292099
2025-01-22,1445.0,1449.85,1374.2,1390.0,354441
2025-01-23,1391.0,1458.7,1383.55,1424.25,618512
2025-01-24,1425.8,1488.7,1382.1,1469.7,1031287
2025-01-27,1450.0,1462.3,1411.15,1455.5,473572
2025-01-28,1447.45,1491.95,1429.15,1466.15,372243
2025-01-29,1461.0,1493.8,1460.0,1475.05,375289
2025-01-30,1465.0,1485.0,1441.5,1453.35,168208
2025-01-31,1470.0,1488.55,1442.45,1463.45,432765
2025-02-01,1466.95,1484.55,1388.9,1401.9,305227
2025-02-03,1380.0,1401.0,1303.85,1344.3,1066990
2025-02-04,1366.0,1375.6,1313.1,1352.8,480098
2025-02-05,1399.0,1450.0,1326.3,1333.65,2640132
2025-02-06,1342.2,1382.0,1335.0,1374.75,1165548
2025-02-07,1380.0,1409.8,1364.1,1407.3,721914
2025-02-10,1409.0,1420.0,1347.1,1350.15,417977
2025-02-11,1353.5,1358.15,1274.4,1282.35,534202
2025-02-12,1278.0,1282.35,1241.55,1268.8,538656
2025-02-13,1270.85,1279.0,1250.6,1255.7,361459
2025-02-14,1270.35,1282.5,1216.75,1237.7,420303
2025-02-17,1237.65,1244.1,1207.25,1239.35,374969
2025-02-18,1239.4,1240.0,1208.0,1235.15,1412340
2025-02-19,1236.25,1263.4,1215.0,1258.7,552892
2025-02-20,1257.95,1273.95,1235.1,1259.95,749886
2025-02-21,1259.0,1294.0,1252.1,1289.3,479150
2025-02-24,1265.0,1309.0,1254.5,1303.3,451488
2025-02-25,1300.1,1343.55,1286.15,1322.5,952901
2025-02-27,1322.5,1335.6,1295.55,1312.7,377025
2025-02-28,1301.05,1301.05,1238.0,1262.95,2361453
2025-03-03,1270.3,1289.9,1232.05,1267.25,444579
2025-03-04,1248.5,1283.2,1225.0,1276.7,395698
2025-03-05,1268.0,1314.2,1268.0,1311.25,385085
2025-03-06,1311.0,1330.8,1301.35,1326.85,349457
2025-03-07,1326.0,1363.45,1320.15,1332.0,620985
2025-03-10,1332.0,1391.95,1332.0,1349.85,833274
2025-03-11,1322.25,1353.95,1303.85,1334.35,439957
2025-03-12,1341.0,1353.55,1302.0,1315.9,239088
2025-03-13,1319.85,1329.4,1282.45,1291.2,228014
2025-03-17,1292.55,1337.95,1282.5,1310.8,487213
2025-03-18,1322.25,1381.95,1307.95,1375.95,836945
2025-03-19,1391.0,1449.9,1381.95,1440.5,714540
2025-03-20,1440.5,1473.2,1428.05,1468.6,685073
2025-03-21,1464.0,1504.3,1455.05,1498.55,1024148
2025-03-24,1509.0,1547.0,1509.0,1530.1,644359
2025-03-25,1539.0,1542.9,1478.4,1492.1,696251
2025-03-26,1493.95,1518.9,1489.05,1499.9,472531
2025-03-27,1495.4,1508.15,1471.45,1501.95,511336
2025-03-28,1501.95,1534.5,1483.05,1486.85,461042
2025-04-01,1482.45,1508.0,1473.0,1500.3,252185
2025-04-02,1516.0,1519.9,1492.0,1509.7,403452
2025-04-03,1499.6,1561.3,1499.35,1552.0,571040
2025-04-04,1552.0,1567.75,1504.75,1537.05,555099
2025-04-07,1383.35,1511.7,1383.35,1496.7,294552
2025-04-08,1534.6,1535.0,1482.0,1509.75,255617
2025-04-09,1504.55,1535.35,1484.45,1530.9,383342
2025-04-11,1551.6,1568.55,1530.5,1562.15,708281
2025-04-15,1599.9,1628.0,1570.8,1623.6,487077
2025-04-16,1625.0,1640.0,1587.0,1605.2,351590
2025-04-17,1591.5,1609.9,1580.2,1591.0,243465
2025-04-21,1600.0,1622.2,1588.0,1592.5,328035
2025-04-22,1599.6,1622.0,1586.1,1589.5,334510
2025-04-23,1594.8,1614.8,1571.9,1609.6,278065
2025-04-24,1609.9,1616.7,1596.0,1600.7,273185
2025-04-25,1600.6,1609.0,1521.9,1538.6,294520
2025-04-28,1538.5,1586.2,1538.4,1557.0,231208
2025-04-29,1567.0,1586.0,1546.1,1554.6,301597
2025-04-30,1546.2,1578.7,1525.0,1539.1,575987
2025-05-02,1540.0,1555.0,1481.7,1490.4,329302
2025-05-05,1490.4,1492.6,1455.4,1477.9,682821
2025-05-06,1485.2,1509.9,1451.0,1462.3,285336
2025-05-07,1409.3,1504.8,1409.3,1501.9,511125
2025-05-08,1493.6,1510.2,1411.1,1420.0,528111
2025-05-09,1390.0,1412.3,1367.4,1371.7,711136
2025-05-12,1430.0,1472.0,1413.1,1465.2,678744
2025-05-13,1465.0,1468.9,1423.0,1426.8,699179
2025-05-14,1430.0,1469.0,1420.2,1449.9,706479
2025-05-15,1469.9,1472.5,1405.5,1432.7,1234033
