Date,Open,High,Low,Close,Volume,MA_Fast,MA_Slow,Signal,Crossover
2025-11-06 05:30:00,567.55,569.35,557.1,558.4,1388630,565.5361468839802,566.524807223025,-1,0.0
2025-11-07 05:30:00,558.5,563.95,550.55,558.8,1593499,564.3113929050747,565.7891112970227,-1,0.0
2025-11-10 05:30:00,558.95,563.0,555.05,556.1,916236,562.8184123768793,564.8663387925444,-1,0.0
2025-11-11 05:30:00,558.0,561.1,552.15,557.55,1177397,561.8605192174467,564.1695446218259,-1,0.0
2025-11-12 05:30:00,560.0,570.05,557.15,562.55,1748539,561.9858793597291,564.0153022768901,-1,0.0
2025-11-13 05:30:00,564.5,566.2,558.5,559.35,685786,561.506628567051,563.5709877743292,-1,0.0
2025-11-14 05:30:00,562.5,564.8,558.7,563.2,1082167,561.8145142821327,563.5356556053455,-1,0.0
2025-11-17 05:30:00,564.7,565.4,559.25,560.3,618154,561.5391480490176,563.2274979286459,-1,0.0
2025-11-18 05:30:00,568.0,568.0,556.75,557.8,904843,560.8593029491961,562.710593364013,-1,0.0
2025-11-19 05:30:00,557.4,561.0,554.5,555.3,847533,559.8485205947968,562.0048225674403,-1,0.0
2025-11-20 05:30:00,562.0,562.0,555.0,555.75,1248817,559.1033350321064,561.4091251800651,-1,0.0
2025-11-21 05:30:00,555.75,556.05,545.0,547.55,1961101,557.0027286626324,560.0892084962493,-1,0.0
2025-11-24 05:30:00,548.85,549.5,542.05,544.6,2247682,554.7476870876084,558.6140457823208,-1,0.0
2025-11-25 05:30:00,547.1,548.35,543.6,545.85,693469,553.1299257989523,557.3984223744807,-1,0.0
2025-11-26 05:30:00,546.5,552.0,544.55,550.0,948636,552.5608483809609,556.6938107197682,-1,0.0
2025-11-27 05:30:00,552.45,553.3,547.0,548.7,481061,551.8588759480589,555.9324954131235,-1,0.0
2025-11-28 05:30:00,549.3,551.85,546.15,550.2,602009,551.5572621393209,555.3865434690166,-1,0.0
2025-12-01 05:30:00,551.4,551.8,542.9,543.35,766104,550.0650326594443,554.2402059957769,-1,0.0
2025-12-02 05:30:00,544.95,547.0,541.0,543.0,1754719,548.780481266818,553.1697101866553,-1,0.0
2025-12-03 05:30:00,546.9,546.9,533.65,535.35,2219149,546.338575581942,551.4725949307833,-1,0.0
2025-12-04 05:30:00,535.6,543.5,527.6,536.9,2474836,544.6224709306798,550.0847287468991,-1,0.0
2025-12-05 05:30:00,536.9,537.5,531.8,533.8,1243514,542.6547489432834,548.5338021995755,-1,0.0
2025-12-08 05:30:00,534.7,540.55,526.55,528.95,1893815,540.1629764081409,546.6686781805682,-1,0.0
2025-12-09 05:30:00,528.1,534.5,523.4,533.05,2139922,538.8697079702971,545.3716612109903,-1,0.0
