Date,Open,High,Low,Close,Volume,MA_Fast,MA_Slow,Signal,Crossover
2025-11-04 05:30:00,341.0,343.5,330.9,332.4,4146708,341.2001812596829,336.69342377381867,1,0.0
2025-11-06 05:30:00,333.95,334.0,321.1,322.3,4353679,337.76378466701334,335.32262150964544,1,0.0
2025-11-07 05:30:00,319.5,335.35,317.4,332.8,6409393,336.86127836391995,335.0823718420602,1,0.0
2025-11-10 05:30:00,333.0,342.6,332.05,337.95,7221580,337.0592277522981,335.3554792856735,1,0.0
2025-11-11 05:30:00,340.0,365.35,339.6,359.7,36648857,341.17573179733483,337.6740050679903,1,0.0
2025-11-12 05:30:00,359.9,359.9,338.5,339.7,17057756,340.9074169250921,337.866956966277,1,0.0
2025-11-13 05:30:00,343.0,347.5,335.4,337.05,11113848,340.2060683932572,337.78915154091726,1,0.0
2025-11-14 05:30:00,337.9,338.55,332.05,335.25,5490018,339.30496504902857,337.54732758463945,1,0.0
2025-11-17 05:30:00,336.4,340.9,332.3,338.55,5215839,339.1676986764779,337.64282019562614,1,0.0
2025-11-18 05:30:00,335.1,335.5,327.5,330.55,5032784,337.6008443716637,336.96731351032844,1,0.0
2025-11-19 05:30:00,330.55,332.4,327.0,327.75,3351769,335.809781758634,336.0894741283924,-1,-2.0
2025-11-20 05:30:00,329.9,333.5,323.15,327.15,4587205,334.2352759843369,335.23809563997406,-1,0.0
2025-11-21 05:30:00,325.0,327.0,312.15,314.15,5632980,330.58340762354834,333.22970557902414,-1,0.0
2025-11-24 05:30:00,314.15,319.4,308.5,313.3,4834709,327.44096987381226,331.3316383810219,-1,0.0
2025-11-25 05:30:00,315.5,323.75,312.75,320.2,6351251,326.1244298967555,330.2714823447341,-1,0.0
2025-11-26 05:30:00,324.8,330.85,322.5,329.1,8010595,326.6654426427999,330.1599125976166,-1,0.0
2025-11-27 05:30:00,331.75,334.3,324.35,325.8,5412607,326.5080894350181,329.744682826415,-1,0.0
2025-11-28 05:30:00,325.9,332.0,321.7,327.0,4727861,326.5975277195602,329.4832844619945,-1,0.0
2025-12-01 05:30:00,335.5,343.9,331.25,339.3,15939026,328.90706813418564,330.4182097513284,-1,0.0
2025-12-02 05:30:00,339.25,339.9,335.2,338.6,3919300,330.6694193825155,331.1974278702495,-1,0.0
2025-12-03 05:30:00,342.0,345.85,336.25,339.2,9381813,332.22043404024,331.9595775968924,1,2.0
2025-12-04 05:30:00,342.0,368.0,342.0,365.75,56781515,338.31671876019635,335.17771306385504,1,0.0
2025-12-05 05:30:00,362.9,374.0,356.3,371.85,41882585,344.4136789856152,338.6703118196784,1,0.0
2025-12-08 05:30:00,372.0,378.4,361.1,363.5,22042865,347.8839191700488,341.035044027328,1,0.0
2025-12-09 05:30:00,361.5,366.0,349.5,362.85,12597995,350.6050247754945,343.11265888186824,1,0.0
2025-12-10 05:30:00,363.0,371.8,357.45,359.4,12937480,352.20411117995,344.6638342264522,1,0.0
2025-12-11 05:30:00,361.7,364.5,351.5,357.05,9796560,353.08518187450454,345.8434690620282,1,0.0
2025-12-12 05:30:00,362.0,384.7,362.0,382.3,44520103,358.396966988231,349.3155196275493,1,0.0
2025-12-15 05:30:00,382.0,389.7,375.15,379.95,14369551,362.3157002630981,352.2330891868304,1,0.0
2025-12-16 05:30:00,378.65,378.65,368.0,369.4,9297078,363.6037547607166,353.8680330737989,1,0.0
2025-12-17 05:30:00,370.0,374.7,365.0,368.2,9659217,364.4394357133135,355.2329823048657,1,0.0
2025-12-18 05:30:00,368.4,389.7,363.2,387.45,29335396,368.6231746745292,358.3012697044023,1,0.0
2025-12-19 05:30:00,387.0,390.85,380.55,387.55,10530081,372.0644156427966,361.08686306588777,1,0.0
2025-12-22 05:30:00,394.5,408.9,394.2,403.4,29309939,377.7617946168335,365.1166856310413,1,0.0
2025-12-23 05:30:00,406.3,415.7,402.5,407.8,18799415,383.22328650468194,369.18176318998974,1,0.0
